Title,Description,Image URL
"Title: یمن: ناو هواپیمابر آبراهام را در دریای سرخ با پهپاد و موشک هدف قرار دادیم, Description: سخنگوی نیروهای مسلح یمن از هدف قرار دادن سه ناو نیروی دریایی آمریکا در دریای سرخ و اقیانوس هند با تعدادی موشک بالستیک، بالدار و پهپاد خبر داد که که اولین آن، ناو هواپیمابر آمریکایی (آبراهام) واقع در اقیانوس هند است., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/173142990722847800.jpg?itok=W2EBd14G"

"Title: کار‌نمایشی دولت شکست خورد/ واردات آیفون دوباره ممنوع می‌شود؟, Description: اولین بار در سال ۱۳۹۹ با پیگیری بانک مرکزی با مدیریت همتی بحث ممنوعیت موبایل بالای ۳۰۰ دلار از جمله آیفون مطرح شد. یکی از دلایل اصلی بانک مرکزی که وزیر فعلی اقتصاد در راس آن قرار داشت ناترازی شدید ارزی کشور بود., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/photo_2024-11-12_21-38-02.jpg?itok=FrtU5-lE"

"Title: دولت شهید رئیسی چگونه کشور را از خاموشی نجات داد؟, Description: دستاوردهای دولت شهید رئیسی در حوزه انرژی و افزایش ظرفیت تولید برق کشور به نحوی بود که به گفته محرابیان وزیر نیرو دولت سیزدهم، نرخ رشد تولید برق ایران در سه سال اخیر در رتبه هفتم جهان و اول منطقه غرب آسیا قرار دارد., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/21/5874985271009857246.jpg?itok=f8vK5V-W"

"Title: دهن کجی دولتیان به مجلس وفاق ادامه دارد/ برق رفت اما وزیر به مجلس نرفت, Description: به گفته عضو کمیسیون انرژی مجلس با وجود دعوت عباس علی‌آبادی به این کمیسیون، وزیر نیرو در جلسه بررسی مستندات کارشناسی تصمیم دولت برای قطعی برق حاضر نشده است., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/19689142_630.jpg?itok=v4Bt78_a"

"Title: روزهای سیاه صهیونیست ها ادامه دارد/ کشته شدن ۱۵ نظامی و شهرک‌نشین صهیونیست طی ۱۲ روز, Description: منابع صهیونیستی به هلاکت ۱۵ نظامی و شهرک نشین خود طی ماه جاری میلادی (نوامبر) اذعان کردند., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/170982751.jpg?itok=7pMgDhQ4"

